Assault,n.,"An apparently violent attempt, or willful offer with force or violence, to do hurt to another; an attempt or offer to beat another, accompanied by a degree of violence, but without touching his person, as by lifting the fist, or a cane, in a threatening manner, or by striking at him, and missing him. If the blow aimed takes effect, it is a battery."
Assembled,imp. & p. p.,of Assemble
Assertive,a.,Positive; affirming confidently; affirmative; peremptory.
Asseveratory,a.,Asseverative.
Assignment,n.,"A transfer of title or interest by writing, as of lease, bond, note, or bill of exchange; a transfer of the whole of some particular estate or interest in lands."
Assistant,a.,"Of the second grade in the staff of the army; as, an assistant surgeon."
Associated,imp. & p. p.,of Associate
Assoilment,n.,"Act of assoiling, or state of being assoiled; absolution; acquittal."
Assumable,a.,That may be assumed.
Assurance,n.,"Insurance; a contract for the payment of a sum on occasion of a certain event, as loss or death."
Astatically,adv.,In an astatic manner.
Asthenic,a.,"Characterized by, or pertaining to, debility; weak; debilitating."
Astoop,adv.,In a stooping or inclined position.
Astriction,n.,"The act of binding; restriction; also, obligation."
Astrolithology,n.,The science of aerolites.
Astucity,n.,Craftiness; astuteness.
At,prep.,"Primarily, this word expresses the relations of presence, nearness in place or time, or direction toward; as, at the ninth hour; at the house; to aim at a mark. It is less definite than in or on; at the house may be in or near the house. From this original import are derived all the various uses of at."
-ate,,"In chemistry it is used to denote the salts formed from those acids whose names end -ic (excepting binary or halogen acids); as, sulphate from sulphuric acid, nitrate from nitric acid, etc.  It is also used in the case of certain basic salts."
Atheous,a.,Atheistic; impious.
Atlantal,a.,Relating to the atlas.
Atmosphere,n.,"The pressure or weight of the air at the sea level, on a unit of surface, or about 14.7 Ibs. to the sq. inch."
Atomology,n.,The doctrine of atoms.
Atramentaceous,a.,"Black, like ink; inky; atramental."
Atropous,a.,Not inverted; orthotropous.
Attack,n.,"A setting to work upon some task, etc."
Attaint,v. t.,To accuse; to charge with a crime or a dishonorable act.
Attempted,imp. & p. p.,of Attempt
Attendant,n.,"One who attends or accompanies in any character whatever, as a friend, companion, servant, agent, or suitor."
Atter,n.,Poison; venom; corrupt matter from a sore.
Attire,n.,"The antlers, or antlers and scalp, of a stag or buck."
Attract,n.,Attraction.
Attributive,n.,A word that denotes an attribute; esp. a modifying word joined to a noun; an adjective or adjective phrase.
Auctionary,a.,Of or pertaining to an auction or an auctioneer.
Audition,n.,The act of hearing or listening; hearing.
Augment,n.,"A vowel prefixed, or a lengthening of the initial vowel, to mark past time, as in Greek and Sanskrit verbs."
Augury,n.,"A rite, ceremony, or observation of an augur."
Aunt,n.,The sister of one's father or mother; -- correlative to nephew or niece. Also applied to an uncle's wife.
Aurichalcite,n.,"A hydrous carbonate of copper and zinc, found in pale green or blue crystalline aggregations. It yields a kind of brass on reduction."
Auriscalp,n.,An earpick.
Auspice,a.,"A divining or taking of omens by observing birds; an omen as to an undertaking, drawn from birds; an augury; an omen or sign in general; an indication as to the future."
Authentic,n.,"Of approved authority; true; trustworthy; credible; as, an authentic writer; an authentic portrait; authentic information."
Authority,n.,Testimony; witness.
Authochthons,pl. ,of Autochthon
Autogamous,a.,Characterized by autogamy; self-fertilized.
Autonomic,a.,Having the power of self-government; autonomous.
Autumnal,a.,"Of, belonging to, or peculiar to, autumn; as, an autumnal tint; produced or gathered in autumn; as, autumnal fruits; flowering in autumn; as, an autumnal plant."
Avaiably,adv.,In an available manner; profitably; advantageously; efficaciously.
Avena,n.,"A genus of grasses, including the common oat (Avena sativa); the oat grasses."
Averring,p. pr. & vb. n.,of Aver
Averruncation,n.,Eradication.
Avid,a.,Longing eagerly for; eager; greedy.
Avoid,a.,"To emit or throw out; to void; as, to avoid excretions."
Avouchable,a.,Capable of being avouched.
Await,v. t.,"To wait on, serve, or attend."
Awarder,n.,"One who awards, or assigns by sentence or judicial determination; a judge."
Awful,a.,"Frightful; exceedingly bad; great; -- applied intensively; as, an awful bonnet; an awful boaster."
Awork,adv.,At work; in action.
Axiomatical,a.,Of or pertaining to an axiom; having the nature of an axiom; self-evident; characterized by axioms.
